word,cnt_in_true,cnt_in_fake,freq_true,freq_fake,total_cnt
change,1184,145,0.011035614089049203,0.002871628312274726,1329
likely,39,1287,0.0003635041802980734,0.025488176813086703,1326
million,1163,163,0.010839881068888703,0.003228106309660554,1326
poverty,3,1316,2.7961860022928726e-05,0.02606250247554165,1319
immigrants,732,585,0.0068226938455946086,0.01158553491503941,1317
became,10,1301,9.320620007642909e-05,0.025765437477720126,1311
said,156,1153,0.0014540167211922936,0.022834396165881093,1309
staff,333,976,0.0031037664625450886,0.01932902919158712,1309
denies,1282,24,0.011949034849798208,0.0004753039965144374,1306
oil,1109,191,0.010336567588475985,0.0037826276389273973,1300
grandparents,1,1297,9.320620007642909e-06,0.025686220144967718,1298
harper,1293,1,0.01205156166988228,1.9804333188101555e-05,1294
willing,1257,33,0.011716019349607136,0.0006535429952073513,1290
bryce,1279,1,0.01192107298977528,1.9804333188101555e-05,1280
called,1048,230,0.009768009768009768,0.004554996633263358,1278
measure,4,1268,3.7282480030571634e-05,0.025111894482512775,1272
official,157,1114,0.0014633373411999367,0.022062027171545134,1271
wouldve,5,1264,4.660310003821454e-05,0.025032677149760367,1269
good,774,494,0.007214159885915611,0.009783340594922169,1268
kushners,1265,1,0.011790584309668279,1.9804333188101555e-05,1266
promotion,1265,1,0.011790584309668279,1.9804333188101555e-05,1266
fled,2,1264,1.8641240015285817e-05,0.025032677149760367,1266
bricklayers,1,1264,9.320620007642909e-06,0.025032677149760367,1265
act,833,429,0.007764076466366543,0.008496058937695568,1262
looks,895,363,0.008341954906840403,0.007188972947280865,1258
second,63,1182,0.0005871990604815032,0.02340872182833604,1245
see,973,269,0.00906896326743655,0.005327365627599319,1242
piece,1106,135,0.010308605728453057,0.0026735849803937103,1241
pompeo,15,1225,0.00013980930011464363,0.024260308155424407,1240
green,1116,122,0.010401811928529486,0.00241612864894839,1238
china,703,535,0.006552395865372964,0.010595318255634333,1238
accused,1152,85,0.01073735424880463,0.0016833683209886323,1237
half,1199,26,0.011175423389163847,0.0005149126628906405,1225
obama,773,448,0.007204839265907969,0.008872341268269497,1221
defends,1137,82,0.010597544948689986,0.0016239553214243275,1219
3,939,280,0.00875206218717669,0.005545213292668436,1219
ban,1048,167,0.009768009768009768,0.00330732364241296,1215
national,451,762,0.004203599623446952,0.015090901889333387,1213
federal,254,957,0.002367437481941299,0.01895274686101319,1211
current,1069,139,0.00996374278817027,0.002752802313146116,1208
freedoms,1204,3,0.011222026489202062,5.941299956430467e-05,1207
gop,332,870,0.0030944458425374455,0.017229769873648354,1202
nyt,31,1167,0.00028893922023693014,0.023111656830514516,1198
much,330,861,0.00307580460252216,0.01705153087495544,1191
wielding,1188,1,0.011072896569079775,1.9804333188101555e-05,1189
schooler,1188,1,0.011072896569079775,1.9804333188101555e-05,1189
freedoming,1188,1,0.011072896569079775,1.9804333188101555e-05,1189
classmates,1188,1,0.011072896569079775,1.9804333188101555e-05,1189
thanks,97,1086,0.0009041001407413622,0.021507505842278292,1183
legal,852,331,0.007941168246511757,0.006555234285261616,1183
left,952,229,0.00887323024727605,0.004535192300075257,1181
linked,9,1172,8.388558006878618e-05,0.023210678496455025,1181
cent,1172,1,0.010923766648957488,1.9804333188101555e-05,1173
dems,488,682,0.00454846256372974,0.013506555234285261,1170
political,171,989,0.0015938260213069373,0.01958648552303244,1160
ditch,1066,90,0.00993578092814734,0.00178238998692914,1156
calls,462,694,0.004306126443531024,0.01374420723254248,1156
bigot,1124,29,0.010476376888590629,0.0005743256624549452,1153
sick,1003,147,0.009348581867665837,0.0029112369786509287,1150
hamas,1149,1,0.010709392388781701,1.9804333188101555e-05,1150
arrested,846,300,0.0078852445264659,0.005941299956430467,1146
projected,1145,1,0.01067210990875113,1.9804333188101555e-05,1146
woman,1094,46,0.010196758288361342,0.0009109993266526716,1140
life,759,381,0.007074350585800968,0.007545450944666693,1140
excuse,747,390,0.006962503145709253,0.007723689943359607,1137
rabid,1123,2,0.010467056268582986,3.960866637620311e-05,1125
weapons,1115,5,0.010392491308521844,9.902166594050779e-05,1120
tell,976,139,0.00909692512745948,0.002752802313146116,1115
mr,50,1062,0.00046603100038214543,0.02103220184576385,1112
