two_words,cnt_in_true,cnt_in_fake,freq_true,freq_fake,total_cnt
"('measure', 'they')",1,1264,9.320620007642909e-06,0.025032677149760367,1265
"('this', 'measure')",1,1264,9.320620007642909e-06,0.025032677149760367,1265
"('star', 'general')",1261,1,0.011753301829637708,1.9804333188101555e-05,1262
"('move', 'to')",1243,12,0.011585530669500134,0.0002376519982572187,1255
"('to', 'another')",1239,1,0.011548248189469564,1.9804333188101555e-05,1240
"('another', 'city')",1238,1,0.011538927569461921,1.9804333188101555e-05,1239
"('asks', 'if')",1238,1,0.011538927569461921,1.9804333188101555e-05,1239
"('harper', 'asks')",1237,1,0.011529606949454277,1.9804333188101555e-05,1238
"('are', 'you')",1111,126,0.010355208828491272,0.002495345981700796,1237
"('if', 'phillies')",1230,1,0.011464362609400777,1.9804333188101555e-05,1231
"('phillies', 'willing')",1228,1,0.011445721369385492,1.9804333188101555e-05,1229
"('coming', 'to')",36,1184,0.0003355423202751447,0.023448330494712243,1220
"('climate', 'change')",1149,62,0.010709392388781701,0.0012278686576622966,1211
"('latest', 'mass')",1188,3,0.011072896569079775,5.941299956430467e-05,1191
"('wielding', 'high')",1188,1,0.011072896569079775,1.9804333188101555e-05,1189
"('freedoms', 'down')",1188,1,0.011072896569079775,1.9804333188101555e-05,1189
"('down', '16')",1188,1,0.011072896569079775,1.9804333188101555e-05,1189
"('16', 'classmates')",1188,1,0.011072896569079775,1.9804333188101555e-05,1189
"('classmates', 'in')",1188,1,0.011072896569079775,1.9804333188101555e-05,1189
"('mass', 'freedoming')",1188,1,0.011072896569079775,1.9804333188101555e-05,1189
"('democrat', 'party')",1186,3,0.01105425532906449,5.941299956430467e-05,1189
"('high', 'schooler')",1188,1,0.011072896569079775,1.9804333188101555e-05,1189
"('schooler', 'freedoms')",1188,1,0.011072896569079775,1.9804333188101555e-05,1189
"('freedom', 'wielding')",1187,1,0.011063575949072132,1.9804333188101555e-05,1188
"('looks', 'like')",889,298,0.008286031186794546,0.005901691290054264,1187
"('not', 'one')",1176,6,0.01096104912898806,0.00011882599912860934,1182
"('an', 'end')",83,1092,0.0007736114606343614,0.0216263318414069,1175
"('one', 'cent')",1171,1,0.010914446028949846,1.9804333188101555e-05,1172
"('to', 'an')",2,1170,1.8641240015285817e-05,0.02317106983007882,1172
"('the', 'democrat')",1163,4,0.010839881068888703,7.921733275240622e-05,1167
"('with', 'the')",797,358,0.007428534146091398,0.007089951281340357,1155
"('last', 'ditch')",1064,90,0.009917139688132055,0.00178238998692914,1154
"('bidens', 'campaign')",1,1144,9.320620007642909e-06,0.02265615716718818,1145
"('projected', 'to')",1142,1,0.010644148048728201,1.9804333188101555e-05,1143
"('want', 'to')",976,164,0.00909692512745948,0.003247910642848655,1140
"('who', 'was')",740,399,0.006897258805655752,0.007901928942052522,1139
"('likely', 'coming')",1,1138,9.320620007642909e-06,0.02253733116805957,1139
"('campaign', 'likely')",1,1132,9.320620007642909e-06,0.02241850516893096,1133
"('wing', 'of')",1124,1,0.010476376888590629,1.9804333188101555e-05,1125
"('hamas', 'wing')",1123,1,0.010467056268582986,1.9804333188101555e-05,1124
"('the', 'president')",11,1111,0.000102526820084072,0.02200261417198083,1122
"('rabid', 'bigot')",1121,1,0.010448415028567701,1.9804333188101555e-05,1122
"('party', 'defends')",1120,1,0.010439094408560057,1.9804333188101555e-05,1121
"('defends', 'rabid')",1120,1,0.010439094408560057,1.9804333188101555e-05,1121
"('bigot', 'omar')",1119,1,0.010429773788552414,1.9804333188101555e-05,1120
"('like', 'a')",953,146,0.008882550867283692,0.002891432645462827,1099
"('thanks', 'to')",12,1078,0.0001118474400917149,0.02134907117677348,1090
"('end', 'thanks')",1,1073,9.320620007642909e-06,0.02125004951083297,1074
"('when', 'you')",944,128,0.008798665287214905,0.002534954648076999,1072
